X:13974 Y:3258 Z:107
X:13894 Y:4103 Z:-248
X:14385 Y:3500 Z:-174
X:13579 Y:4020 Z:-126
X:14260 Y:3465 Z:-277
X:13498 Y:3541 Z:374
X:14449 Y:3226 Z:-431
X:13621 Y:3620 Z:597
X:14762 Y:4231 Z:-518
X:14275 Y:3941 Z:1143
X:14614 Y:4344 Z:-73
X:14646 Y:3632 Z:1185
X:14576 Y:3639 Z:368
X:14864 Y:2989 Z:1332
X:14183 Y:3739 Z:804
X:15124 Y:2892 Z:1054
X:14111 Y:3776 Z:1131
X:14906 Y:2523 Z:815
X:13613 Y:2410 Z:1470
DHT11: 61.0% RH, 30.4C
X:14521 Y:2337 Z:238
X:13863 Y:2681 Z:1260
X:14860 Y:3118 Z:-188
X:14241 Y:2913 Z:1044
X:14897 Y:3567 Z:-80
X:14492 Y:2925 Z:835
X:14951 Y:3851 Z:-424
X:15138 Y:3148 Z:50
X:14680 Y:4230 Z:-780
X:15451 Y:3281 Z:-843
X:14612 Y:3675 Z:-639
X:15364 Y:3489 Z:-1149
X:14278 Y:3975 Z:-756
X:15149 Y:3279 Z:-1851
X:14638 Y:2794 Z:-906
X:14851 Y:2915 Z:-2461
X:14439 Y:2379 Z:-850
X:14577 Y:3306 Z:-2096
X:14472 Y:2774 Z:-1088
X:13933 Y:3721 Z:-1900
X:14248 Y:3216 Z:-1188
X:13772 Y:3807 Z:-1611
X:14556 Y:2724 Z:-1221
X:13532 Y:3217 Z:-701
X:13969 Y:3155 Z:-1078
X:13477 Y:2468 Z:-87
X:13704 Y:2635 Z:-799
X:13340 Y:2733 Z:-25
X:13472 Y:3247 Z:-1123
X:13285 Y:2590 Z:-278
X:13065 Y:3423 Z:-1288
DHT11: 61.0% RH, 30.0C
X:13415 Y:2536 Z:-825
X:12798 Y:3585 Z:-1522
X:13624 Y:2594 Z:-1562
X:12953 Y:3722 Z:-2086
X:13449 Y:3140 Z:-2241
X:12517 Y:4316 Z:-2096
X:13609 Y:4420 Z:-2759
X:12598 Y:4865 Z:-1994
X:13410 Y:4833 Z:-2353
X:12764 Y:4462 Z:-1370
X:13438 Y:4791 Z:-1945
X:13170 Y:3554 Z:31
2X:12991 Y:3452 Z:-553

Invalid input, try again.

===ed:  1) Low  2) Medium  3) HigSpass:  H) Healthy  I) Imbalance  O)Clter as two chars, e.g. "1H": e  O) Obstruction
Enter as two chars, e.g. "1H": X:12838 Y:1918 Z:1390
X:12689 Y:2720 Z:649
X:12981 Y:1854 Z:1278
X:12165 Y:2933 Z:668
X:13290 Y:1816 Z:1165
X:12104 Y:2678 Z:1158
X:13435 Y:3049 Z:405
X:12342 Y:3022 Z:1403
X:13777 Y:3166 Z:201
X:12623 Y:3324 Z:1367
hX:14212 Y:3381 Z:187
X:13852 Y:3287 Z:1085
X:14070 Y:3865 Z:141
X:13646 Y:3071 Z:887
X:13423 Y:3810 Z:364
X:13801 Y:3111 Z:429
X:12910 Y:4096 Z:40
X:13495 Y:3814 Z:-130
X:12665 Y:4471 Z:190
DHT11: 61.0% RH, 30.1C
X:14057 Y:4425 Z:-674
X:13048 Y:4707 Z:48
X:14337 Y:4934 Z:-1206
X:13961 Y:4282 Z:136
X:14462 Y:4732 Z:-1184
X:14128 Y:3520 Z:558
X:14370 Y:3628 Z:-225
X:14220 Y:3295 Z:719
X:13881 Y:3732 Z:228
X:14875 Y:2619 Z:843
X:13947 Y:2603 Z:1124
X:14895 Y:2013 Z:1134
X:13866 Y:2533 Z:1634
X:14899 Y:2082 Z:1344
X:13760 Y:2215 Z:2019
X:14909 Y:1969 Z:874
X:13754 Y:2101 Z:1746
X:14738 Y:2612 Z:232
s
Invalid input, try again.

==eed:  1) Low  2) Medium  3) HigSpass:  H) Healthy  I) Imbalance  O)Claer as two chars, e.g. "1H": e  O) Obstruction
Enter as two chars, e.g. "1H": X:14023 Y:2275 Z:1559
X:14847 Y:2980 Z:-176
X:14665 Y:2993 Z:334
X:14655 Y:3775 Z:-1024
X:15292 Y:3352 Z:-723
X:14830 Y:4425 Z:-1848
X:15504 Y:4084 Z:-1686
X:14737 Y:4943 Z:-1807
X:15798 Y:4365 Z:-2219
X:14668 Y:4618 Z:-1737
X:15292 Y:4221 Z:-2773
X:14683 Y:4365 Z:-1396
X:15464 Y:4532 Z:-2739
DHT11: 61.0% RH, 30.6C
X:15110 Y:4273 Z:-1496
X:14964 Y:4705 Z:-2605
X:14810 Y:3725 Z:-1042
X:14459 Y:3920 Z:-1827
X:14246 Y:2867 Z:-881
X:13490 Y:3236 Z:-1075
X:14401 Y:2700 Z:-872
X:13762 Y:3159 Z:-626
X:14392 Y:2761 Z:-1040
X:13541 Y:2621 Z:126
X:14474 Y:2446 Z:-791
X:13718 Y:2438 Z:51
2X:14020 Y:2610 Z:-1126
X:14017 Y:2277 Z:-238
X:13689 Y:3053 Z:-952
X:13515 Y:2239 Z:-293
X:12991 Y:3208 Z:-1042
X:13291 Y:2319 Z:-443
X:12628 Y:3631 Z:-1336
X:13274 Y:3239 Z:-1621
X:12713 Y:4243 Z:-1573
X:13857 Y:4145 Z:-2519
X:13109 Y:4510 Z:-1693
X:13766 Y:3996 Z:-2496
X:13361 Y:4012 Z:-1363
X:13949 Y:4926 Z:-2821
h
Seld 'S' when stable and ready to capture, 'X' toSend 'S' when sta-1896
 ready to capture, 'X' to cancel and return to menu.
X:13436 Y:4296 Z:-1896
X:13178 Y:2820 Z:-761
X:12141 Y:3176 Z:-434
X:13502 Y:2435 Z:-34
X:11940 Y:2246 Z:722
X:13192 Y:2146 Z:350
DHT11: 61.0% RH, 30.0C
X:12323 Y:1558 Z:1832
X:12989 Y:2195 Z:584
X:12604 Y:1698 Z:1592
X:12792 Y:2459 Z:955
X:12593 Y:1530 Z:1693
X:12387 Y:3328 Z:654
X:13243 Y:2494 Z:1032
X:12403 Y:3950 Z:616
X:13710 Y:3555 Z:-233
X:12815 Y:4521 Z:-13
X:14756 Y:4862 Z:-1043
s
=== CAPTURE START: speed2_healthy ===
15565,4861,-2103,14808,3321,-221,13182,1793,192,13866,1313,-513,13966,2348,-1084,13123,4641,-1830,13587,5534,-2982,13509,3871,-2560,12865,2746,-25,11635,2064,1041,13300,2314,660,13243,3559,142,13510,5259,-68,13834,5468,-580,14148,3538,-4,14086,1823,1802,13318,1496,2195,14809,1979,377,15078,3631,-822,14944,5562,-1902,15425,5459,-2315,14427,2821,-863,13976,1087,981,13463,1245,-80,13342,2885,-1748,13981,4180,-2121,13378,5606,-2459,12939,5172,-2583,12980,2449,-450,12365,1125,1797,12101,2263,1382,13555,3971,-787,14359,4597,-507,13227,5094,156,14044,4480,6,14561,2029,983,13939,1147,2711,13786,2254,964,15650,4229,-1771,15595,5088,-2101,14808,4702,-1355,14143,3036,-1002,13885,837,498,13495,1332,497,13148,3478,-1533,13753,5032,-3128,14106,4593,-2507,12596,4222,-1823,12448,2924,-337,13089,768,1429,12394,1945,1889,12878,4813,-343,14704,5836,-1341,14017,4797,-105,13537,3599,793,14276,2263,1048,14461,667,1990,13982,1584,1445,14732,4748,-1546,15954,5801,-2983,15270,4435,-1164,13615,2661,47,13667,1345,-199,13805,915,-381
13554,2702,-1094,12851,5170,-2548,14269,5377,-3033,13520,3859,-1459,11816,2801,495,12681,1768,963,13078,1962,739,13459,4435,283,13337,5561,-714,14425,4881,-828,14186,2862,896,13534,1862,2211,14290,1611,1633,14847,2063,197,14792,4657,-1137,15164,5762,-2498,15376,4120,-2043,14097,1880,224,13088,1137,703,14127,2086,-896,13446,3376,-1871,13596,5241,-2047,13448,5616,-2838,13254,3873,-1892,12827,962,1034,11836,1214,1662,12833,3478,17,14299,4639,-777,13602,5356,112,13260,5132,-47,14677,2986,354,14190,1056,2209,13427,1165,2134,14816,2999,-616,15599,4730,-2007,15281,5558,-1704,14672,4470,-1443,13982,1991,-416,14035,583,892,13166,1988,-549,13357,4340,-2481,14243,4702,-2774,13298,4786,-2150,12381,3924,-1185,12911,1818,608,12656,1178,1888,12149,3494,763,14393,5478,-1357,13967,4905,-722,13971,4080,657,13812,2968,784,14436,1299,1438,14431,1147,2243,13915,3632,-38,15653,5909,-2818,15692,4916,-2104,14390,3285,-349,13389,1524,-105,13764,495,-6,14090,1970,-686,12754,4822,-2064,14013,6194,-3239,13908,4422,-2435,12461,3028,-272
12112,1451,730,12884,1100,1081,13250,3293,705,13344,5626,-630,14227,6089,-1261,14338,3961,286,13473,2297,1944,13755,1403,2108,14515,1063,883,15148,3294,-402,14796,5716,-2405,15732,5617,-2525,14838,2889,-487,13117,1398,1081,13673,1547,-70,13795,2367,-1616,13641,4119,-2077,13084,5604,-2676,13881,5363,-2852,12868,2575,-50,12093,1178,1787,12129,2258,989,13614,3917,-693,14183,5072,-319,12987,5338,-141,14484,4098,-213,14213,1421,1540,13815,989,2779,13991,2235,568,15549,4039,-1605,15556,5667,-1852,14833,5196,-1551,14539,3036,-1149,13933,400,946,13422,1190,240,13217,3570,-1941,13890,5103,-3016,13979,5349,-2367,12379,4432,-2032,12697,2508,-185,12884,216,1710,11923,1799,1486,13321,4811,-922,14587,5632,-1537,13923,5101,266,13448,3979,887,14446,2086,1069,14601,516,2423,13750,1838,1232,15156,4536,-1932,15865,5856,-2979,15185,4995,-1049,13794,2783,-307,13376,633,169,13888,690,81,13406,3282,-1296,13314,5566,-2983,14217,4813,-3054,13138,3960,-1529,11760,2760,307,13002,1316,1090,12861,1938,1390,12926,4878,-46,14254,6062,-1330
14172,4889,-743,14036,2856,1238,13565,1520,1977,14281,1141,1672,14856,1971,691,14478,5070,-1485,15678,6213,-2912,15278,4099,-1633,13995,2001,741,13030,784,416,13945,1185,-870,13529,3187,-1602,13351,5613,-2137,14182,6335,-3260,13060,3939,-1771,12724,1241,1213,11720,1372,1407,13103,2825,206,14220,4148,-269,12935,5512,-169,13919,5245,-451,14504,2862,545,13802,1299,2495,13822,1177,1990,14930,2846,-657,15342,4717,-1710,15138,5634,-1856,14950,4499,-1701,14049,1628,-11,13668,595,1237,13287,2050,-903,13554,4396,-2526,14338,5188,-2495,13050,5416,-2489,12894,3841,-1400,12899,817,1027,11974,1050,2080,12348,3196,406,14462,5249,-1474,13835,5414,-418,13468,4759,586,14272,3333,540,14129,817,1766,14222,681,2515,14158,3371,-393,15896,5534,-2699,15864,5687,-1814,13774,4186,-646,14165,1890,-237,13635,212,398,13613,1733,-543,12940,4441,-2362,14042,5459,-3258,13801,4632,-2298,12075,3672,-508,12601,1966,538,12748,794,1440,12950,3189,1129,13499,5655,-939,14458,5643,-1315,14258,3991,448,13384,2732,1543,14153,1578,1578,14691,1058,1341
14385,3627,3,15171,5670,-2446,15772,5167,-2602,14650,2960,-248,13061,1356,558,13861,1383,-385,13818,2138,-1278,13366,4372,-1713,13296,5862,-2822,13648,4794,-2765,13133,2493,-51,11635,1212,1263,12908,2052,594,13506,3587,-243,13903,5523,-171,13554,5896,-291,14267,4215,-30,14304,1691,1780,13192,819,2479,14513,1797,344,15237,3568,-1236,15210,5777,-1705,14913,5707,-2114,14632,3116,-1090,13790,760,955,13012,955,119,13705,2827,-1822,13856,4112,-2506,13810,5486,-2260,12868,5027,-2533,13052,2891,-539,12666,979,1888,11904,2203,1434,13473,4530,-783,14368,4771,-661,13368,4771,305,13611,4013,222,14482,2073,643,14227,954,2413,13789,2240,1127,15431,4597,-1715,15664,5365,-2302,14906,4526,-858,14080,2771,-822,13562,575,68,14258,790,155,12886,3740,-1547,13976,5958,-2932,14282,5107,-2728,12505,4251,-1418,12423,2518,-42,12699,578,1166,12790,1349,1664,12746,4384,-75,14305,6287,-1517,14328,5150,-421,13676,3737,1278,13619,2021,1449,14691,368,1782,14481,1509,1031,14544,4602,-1453,16176,6252,-3265,15364,4576,-1404,13737,2746,378
13180,1217,390,14027,1069,-528,13453,2799,-1377,13159,5123,-2600,13817,5696,-3501,13576,3637,-1402,11849,2112,984,12135,1464,1459,13369,2416,413,13747,4566,-150,13398,5732,-783,14195,5395,-964,14365,2792,913,13726,1051,2639,13940,1125,1929,14725,2375,-473,15604,5021,-1589,14906,6250,-2406,15158,4562,-2037,14118,1332,277,13196,482,1203,13546,1922,-925,13324,3453,-2094,14218,5150,-2388,12871,5800,-2857,13253,4361,-1820,12758,1065,988,11970,1170,2017,12534,3218,152,14541,4727,-1193,13947,5444,-208,13251,5026,321,14514,3133,405,14249,814,2305,13790,1015,2318,14393,3199,-557,15915,5111,-2524,15403,5678,-1876,14261,4152,-1163,14075,1511,-335,13617,170,1048,13340,2050,-393,13449,4758,-2489,14160,5362,-3291,13622,4649,-2279,12160,3725,-909,12742,1761,623,12942,562,2035,12148,3379,899,13917,5724,-1177,14286,5507,-1194,13980,4294,632,13459,2433,1265,14374,935,1600,14403,812,1873,14345,3599,-177,15764,6278,-2985,15516,5480,-2481,14801,3340,52,13006,1476,482,13858,766,5,13829,1495,-807,12962,4492,-1972,13655,6224,-3352
13988,4680,-2784,12713,2972,-82,11519,1686,1284,13177,1649,1057,13360,3040,443,13355,5157,-271,13955,5728,-1163,14521,4063,-59,14041,2186,1938,13445,1423,2359,14630,1871,525,15308,3580,-765,14857,5811,-2258,15365,5081,-2321,14688,2312,-741,13189,958,1274,13624,1418,-98,13541,3133,-1851,13885,4598,-2256,13491,5486,-2581,13059,4730,-2638,12912,1844,-9,12269,802,2056,11930,2522,981,14035,4651,-1029,14448,5225,-681,12985,5400,118,14342,4196,254,14380,1541,1274,13734,701,2999,13872,2040,694,15657,4291,-2135,15563,5571,-2186,14620,4855,-1305,14230,3090,-902,13691,710,679,13776,1323,183,12939,3591,-1767,14098,4748,-3078,14051,4394,-2438,12556,4255,-1592,12666,2997,-74,12965,1129,1328,12317,2775,1563,13291,5011,-681,14478,5421,-1492,13926,3988,321,13401,2968,1199,14044,2069,1249,14389,956,1919,14318,2538,861,14854,5466,-2079,16106,5874,-3016,15485,3900,-871,13065,1984,273,13746,862,40,13888,1289,-532,13483,3695,-1347,13365,5913,-2915,13855,5381,-3149,13426,3639,-1034,11509,2008,800,12632,1284,920,12920,1986,577
13692,4363,130,13521,5886,-948,14212,5151,-600,14682,3114,1263,13145,1736,2433,14390,1698,1170,15174,2107,-264,14828,4623,-1371,15139,5508,-2291,15221,3965,-1572,13964,2145,821,13169,1589,572,13790,2539,-1417,13591,3023,-2021,13441,4621,-2164,12980,5357,-2796,13377,3563,-1552,12571,1327,1263,11734,1957,1528,13218,4086,-314,14413,4800,-624,13580,5027,179,13461,4536,85,14556,2346,603,14227,1081,2411,13622,1811,1557,15190,3827,-1053,15597,5026,-1976,14925,5401,-1387,14436,3902,-1399,13860,921,-95,13848,365,663,13062,2479,-904,13827,4860,-2625,14288,5034,-2674,12978,5037,-2075,12405,3853,-910,13021,1169,734,12671,887,1829,12127,3761,554,14651,5540,-1378,14116,5033,-561,13507,4308,872,13993,2902,923,14389,1214,1531,14291,1314,1759,14372,3352,-411,15558,5217,-2831,15714,4763,-1832,14364,3691,-194,13290,1928,-24,13971,781,-137,13678,2525,-803,13041,4783,-1997,14133,5291,-3172,13466,3865,-2267,12437,3177,-3,12211,2055,817,12975,1778,872,13230,3911,603,13258,5384,-371,14283,5466,-1041,14252,3325,540,13712,1897,1843
13643,1558,1630,14923,1800,438,15081,4057,-512,14712,5762,-2143,15677,5138,-2329,14441,2542,-149,13284,1130,839,13741,1439,-784,13415,2629,-1674,13796,4313,-1639,13286,5674,-2580,13258,4941,-2677,13116,2008,84,11809,1386,1543,12385,2728,623,14002,3982,-500,13894,4569,-161,13070,4896,-76,14641,4251,-215,14445,2166,1529,13677,1335,2478,14181,2574,243,15635,3853,-1450,15483,4902,-1572,14391,4400,-1641,14477,2688,-1143,13996,930,719,13396,1956,-8,13079,4156,-1834,14061,4358,-2665,13649,4530,-2248,12222,4094,-1787,13300,2406,-242,12602,1095,1403,12035,3102,1363,13857,5142,-590,14144,5066,-692,13666,4195,573,13760,3277,587,14366,2074,861,14616,805,2125,13874,2687,729,15190,5272,-2018,15760,5149,-2500,14912,4009,-559,13413,2376,-211,13878,1036,-333,14135,1450,-518,12882,3558,-1352,13877,5317,-2928,13621,4672,-2719,12961,3750,-906,11935,2490,428,12686,1671,802,13240,2327,991,13205,4545,65,13795,5538,-1104,14329,4161,-424,14136,3175,1428,13452,2266,2004,14814,1410,1184,14642,2229,304,14696,4857,-1596,15682,5415,-2653
15037,3570,-1549,13612,2081,538,13449,1658,31,13720,2171,-957,13522,3068,-1284,13362,4921,-2281,13526,5542,-3173,13427,3184,-1541,12538,1624,1209,11627,2159,1254,13524,3563,119,14299,4390,32,12783,4936,54,14331,4631,-440,14486,2574,475,13815,1355,2421,13899,1814,1507,15091,3334,-837,15480,4906,-1719,14873,5160,-1644,14727,3991,-1734,13899,1410,42,13836,910,634,12911,2684,-1025,13878,3986,-2375,14183,4524,-2401,12367,5123,-2168,13137,4026,-1299,12838,1425,907,12121,1589,2087,12955,3484,299,14194,4973,-1201,14046,4497,-129,13631,4224,301,14018,3546,236,14577,1441,1795,13928,1694,2195,14405,3743,-528,15724,4707,-2765,15500,4188,-1500,13792,3385,-860,13975,2431,-648,13954,1409,-82,13371,2730,-526,13021,4610,-2148,13913,4730,-2827,13671,3797,-1756,11801,3145,-528,12840,2205,283,13008,1798,1329,13103,4075,878,13587,5519,-570,14136,4831,-845,14481,3491,533,13324,2487,1459,14375,1713,1461,14748,1358,897,14489,3795,-266,15318,5633,-2383,15453,4374,-2075,14373,2834,-398,13171,1884,290,14082,2187,-873,13631,2407,-1267
13
7,3861,-1536,13213,5208,-2509,13470,4392,-2425,12915,2665,253,11858,2290,1177,13007,3157,338,13972,3879,-163,13452,4393,506,13450,4223,-115,14288,3088,-103,14444,2232,1743,13695,2250,2055,14751,3216,-333,15445,3934,-1187,15105,4757,-1248,14657,4026,-1771,14198,1902,-1074,14177,1155,587,13049,2552,-369,13526,4463,-1931,14267,4190,-2183,13089,4565,-2046,12463,3903,-1994,13180,1944,-95,12622,1493,1527,11862,3347,857,14157,5025,-821,13956,4559,-29,13418,3940,820,13902,3584,224,14723,2255,799,14517,1550,1943,13914,3136,221,15434,4581,-1983,15762,4518,-1537,14219,3557,-441,13908,2152,-806,13643,1132,-465,14045,2414,-665,13085,4567,-1847,13671,5045,-2767,13797,3344,-2083,12233,3250,-693,12283,2653,242,13133,1987,871,13123,3659,896,13123,5315,-295,14336,5224,-805,14099,3390,314,13486,2370,1392,13993,1999,1403,14750,1600,882,14850,3420,70,14778,5303,-1737,15783,5135,-2378,14578,2898,-603,13390,1470,459,13820,1503,-464,13646,2212,-1405,13538,4215,-1690,13263,5663,-2308,13766,4998,-2800,13041,2616,-515,11902,1718,1281
12527,2266,959,13650,3477,-222,13755,4684,89,13216,4832,-50,14344,4099,-377,14215,2345,1242,13755,1638,2416,14450,2465,523,15223,3674,-1104,15524,4893,-1331,14683,4701,-1651,14557,3251,-1321,13915,966,555,13385,1501,257,13382,3607,-1739,13857,4443,-2473,13876,4692,-2131,12205,4251,-1969,13118,2600,-728,12852,907,1478,11918,2397,1399,13602,4815,-736,14418,5213,-737,13715,4592,519,13314,3863,577,14609,2303,463,14512,951,2210,13797,2235,1217,15165,4511,-1568,15669,5239,-2412,15121,4303,-729,13639,2743,-429,13713,1204,-130,14362,1218,-258,13182,3600,-1453,13397,5188,-2715,14241,4268,-2591,12799,3911,-1228,12003,2700,80,12880,1751,691,12805,2196,1167,13379,4964,-117,13889,6051,-902,14431,4281,-277,13803,2934,1276,13285,1949,1689,14639,1137,1253,14630,2257,577,14602,4826,-1282,15822,5783,-2625,15091,3887,-1519,14008,2183,353,13342,1332,191,13837,1577,-966,13791,2965,-1386,13214,5223,-2073,13850,5828,-3038,13190,3733,-1802,12394,1833,901,12078,1743,1053,13035,3189,-43,14056,4071,78,13161,4922,227,13803,4855,-385
14384,2649,611,14217,1755,2157,13526,2051,1306,15349,3041,-708,15345,4470,-1258,14738,5026,-1474,15099,3880,-1725,13892,1829,-190,13860,1379,669,13401,2648,-1222,13432,4273,-2259,14205,4367,-2053,12752,4692,-2302,12583,3829,-1630,13101,931,810,12091,1672,1720,12520,4040,85,14653,5161,-1095,13774,4893,222,13297,4346,703,14260,2894,313,14383,1179,1551,13932,1389,1921,14625,3759,-670,15682,5394,-2462,15633,4929,-1239,13904,3448,-591,13872,1668,-442,13837,511,51,13552,2300,-685,13004,4848,-2278,14162,5329,-3002,13582,4262,-1959,11927,3416,-598,12786,2079,382,12928,1296,1300,12903,3653,957,13605,5435,-596,14235,5158,-875,14314,3672,611,13202,2637,1448,14427,1806,1288,14678,1179,1202,14467,3532,-23,15232,5552,-2365,15669,4686,-2276,14485,2894,-255,12931,1609,300,14114,1685,-621,13846,2524,-1277,13240,4481,-1672,13393,5484,-2892,13562,4274,-2556,12861,2397,186,11711,1737,1212,12974,2492,550,13780,3586,52,13448,5138,118,13550,5320,-527,14406,3636,-77,14109,1800,1823,13526,1346,2257,14744,2222,38,15299,3796,-1186
151
4,5568,-1658,15155,5129,-1996,14132,2582,-884,13879,963,905,13324,1811,-178,13354,3501,-1793,14198,4049,-2289,13346,5082,-2368,12785,4628,-2300,12825,2329,-261,12574,1407,1715,11932,2849,1124,13925,4630,-863,14153,4551,-499,13391,4249,462,13720,3759,261,14574,2036,808,14409,1544,2273,13790,2916,526,15659,4548,-1890,15630,4978,-1892,14588,4001,-731,13847,2069,-757,13817,736,-96,13790,1898,-128,13183,4350,-1619,13735,5484,-3150,13891,4073,-2405,12463,3680,-1206,12215,2444,-67,13147,1077,999,12690,2654,1435,13023,5121,-106,14449,5728,-1068,14091,4186,164,13569,3098,1125,14166,1974,1255,14540,1048,1386,14439,2598,659,14695,5052,-1800,15832,5753,-2732,14972,3631,-769,13191,2017,427,13825,1598,-315,13779,1548,-1071,13701,3268,-1394,13092,5245,-2585,13854,5433,-2722,13508,3263,-885,11705,2031,974,12502,2095,881,13546,2991,157,13685,4725,147,13107,5231,-200,14523,4247,-450,13968,2577,1067,13933,2002,2343,14173,2152,1020,15186,2932,-650,15062,4667,-1247,14683,5085,-1794,15164,3475,-1738,13512,1214,277,13663,1292,362
130
